Date,Team
2018-02-16,Northeastern
2018-03-16,Providence
2018-03-17,Boston University
2018-10-20,Merrimack
2018-10-26,Massachusetts
2019-01-04,Mass.-Lowell
2019-02-15,Providence
2019-03-16,Boston College
2019-03-23,Northeastern
2019-11-01,Massachusetts
2019-11-10,New Hampshire
2019-11-15,Maine
2019-11-22,Northeastern
2019-12-07,Boston University
2020-01-18,Boston College
2020-01-24,Maine
2020-02-14,Connecticut
2020-02-15,Maine
2020-02-29,Providence
2020-03-06,Maine
2020-12-12,New Hampshire
2020-12-30,Massachusetts
2021-01-17,Boston University
2021-02-05,Boston College
2021-02-06,Boston University
2021-02-26,Merrimack
2021-02-27,Boston University
2021-03-14,Mass.-Lowell
2021-03-20,Massachusetts
2021-11-13,Boston University
2021-11-19,Northeastern
2022-01-21,Massachusetts
2022-01-25,Boston University
2022-02-27,Boston College
2022-03-12,Northeastern
2022-03-18,Connecticut
2022-03-19,Massachusetts
2022-10-29,Merrimack
2022-11-29,Connecticut
2022-12-02,Merrimack
2022-12-31,Providence
2023-01-06,New Hampshire
2023-01-20,Mass.-Lowell
2023-02-04,New Hampshire
2023-02-25,Connecticut
2023-03-03,Boston College
2023-03-04,Connecticut
2023-03-11,Mass.-Lowell
2023-03-17,Merrimack
2023-03-18,Boston University
2023-10-13,New Hampshire
2023-11-04,Providence
2023-11-16,Massachusetts
2023-12-01,Vermont
2023-12-03,Mass.-Lowell
2024-01-19,Maine
2024-02-02,Northeastern
2024-02-16,Mass.-Lowell
2024-02-17,Northeastern
2024-02-23,Maine
2024-02-24,Northeastern
2024-03-01,Connecticut
2024-03-02,Northeastern
2024-03-16,Boston University
2024-03-23,Boston College
2024-11-15,Connecticut
2024-11-23,Mass.-Lowell
2024-12-09,Boston College
2025-01-10,Merrimack
