Date,Team
2008-01-13,St. Lawrence
2008-01-18,Cornell
2008-01-20,Clarkson
2008-02-01,Colorado College
2008-02-09,St. Cloud State
2008-02-29,Wisconsin
2008-03-01,St. Cloud State
2008-03-20,Minnesota
2008-03-22,Denver
2008-03-29,Wisconsin
2008-03-30,North Dakota
2008-04-10,Boston College
2008-10-18,Northeastern
2008-10-31,New Hampshire
2008-11-08,Minnesota
2008-11-22,Denver
2009-01-03,Boston University
2009-01-13,Providence
2009-01-23,Northeastern
2009-01-30,Massachusetts
2009-02-01,Maine
2009-02-06,New Hampshire
2009-02-07,Maine
2009-02-13,Boston University
2009-03-14,Maine
2009-03-15,Boston University
2009-10-16,Massachusetts
2009-10-31,Providence
2009-11-08,Vermont
2009-11-14,Boston College
2009-11-15,Vermont
2009-11-24,Massachusetts
2009-11-28,Quinnipiac
2009-12-04,Yale
2010-01-12,Harvard
2010-01-29,Princeton
2010-02-05,Colgate
2010-02-06,Quinnipiac
2010-02-13,Clarkson
2010-02-19,Brown
2010-02-26,Quinnipiac
2010-03-06,Dartmouth
2010-03-07,Quinnipiac
2010-03-13,Union
2010-03-20,Cornell
2010-03-26,New Hampshire
2010-03-27,RIT
2010-04-08,Wisconsin
2010-04-10,Boston College
2010-10-23,Notre Dame
2010-11-05,Bowling Green
2010-11-06,Notre Dame
2010-11-13,Michigan
2010-11-28,Minnesota
2010-12-03,Minnesota State
2010-12-10,North Dakota
2011-01-14,Minnesota
2011-01-15,North Dakota
2011-01-28,Colorado College
2011-01-29,North Dakota
2011-03-05,Michigan Tech
2011-03-11,North Dakota
2011-04-07,Michigan
2011-04-09,Minnesota-Duluth
2011-10-08,Notre Dame
2011-10-15,Ohio State
2011-10-20,Michigan State
2011-10-21,Ohio State
2011-12-09,Miami
2011-12-10,Ohio State
2012-01-13,Michigan
2012-01-20,Notre Dame
2012-01-21,Michigan
2012-02-10,Michigan State
2012-02-11,Michigan
2012-02-24,Bowling Green
2012-02-25,Michigan
2012-03-17,Western Michigan
2012-03-24,North Dakota
2012-03-25,Minnesota
2012-04-05,Boston College
2012-10-13,Northeastern
2012-10-20,Boston College
2012-11-30,Boston University
2012-12-01,Boston College
2012-12-30,Minnesota
2013-01-25,Minnesota State
2013-01-26,Minnesota
2013-02-09,St. Cloud State
2013-02-22,Colorado College
2013-02-23,St. Cloud State
2013-03-02,Michigan Tech
2013-03-09,Colorado College
2013-03-15,Denver
2013-03-16,Colorado College
2013-03-23,Wisconsin
2013-03-29,Mass.-Lowell
2013-04-11,Yale
2013-10-25,Brown
2013-11-01,Clarkson
2013-11-02,Yale
2013-11-23,Cornell
2013-11-30,Boston University
2013-12-06,Merrimack
2014-01-10,Clarkson
2014-01-11,Merrimack
2014-01-17,Quinnipiac
2014-01-18,Merrimack
2014-01-21,Boston College
2014-03-01,Notre Dame
2014-03-15,Boston College
2014-03-16,Notre Dame
2014-03-21,Mass.-Lowell
2014-03-30,Boston College
2014-04-10,Union
2014-10-25,St. Cloud State
2014-11-01,Minnesota
2014-11-14,Minnesota-Duluth
2014-12-13,Michigan Tech
2014-12-28,Michigan
2015-01-16,Ohio State
2015-01-23,Michigan State
2015-02-07,Michigan
2015-02-13,Minnesota
2015-02-21,Penn State
2015-02-27,Ohio State
2015-03-06,Minnesota
2015-03-07,Ohio State
2015-03-20,Minnesota
2015-03-27,Minnesota-Duluth
2015-03-28,Boston University
2015-04-11,Providence
2015-12-28,Cornell
2015-12-29,Ohio State
2016-01-17,Michigan
2016-02-05,Michigan State
2016-02-06,Michigan
2016-02-26,Minnesota
2016-03-05,Michigan State
2016-03-11,Ohio State
2016-03-18,Minnesota
2016-03-19,Michigan
2016-03-26,North Dakota
2016-10-28,Minnesota-Duluth
2016-11-11,Western Michigan
2016-11-12,Minnesota-Duluth
2016-12-09,Denver
2016-12-10,Minnesota-Duluth
2017-01-07,Colorado College
2017-01-20,Western Michigan
2017-01-28,Miami
2017-02-10,St. Cloud State
2017-02-24,Denver
2017-03-17,North Dakota
2017-03-18,Minnesota-Duluth
2017-04-08,Denver
2017-11-03,Western Michigan
2017-11-10,Minnesota-Duluth
2017-11-11,Western Michigan
2017-11-25,Colgate
2017-12-02,Army
2017-12-08,Merrimack
2017-12-30,Colorado College
2018-01-12,Minnesota-Duluth
2018-01-23,Minnesota State
2018-03-10,Michigan Tech
2018-03-23,Notre Dame
2018-04-07,Minnesota-Duluth
2018-10-07,Minnesota
2018-10-27,North Dakota
2018-11-10,Miami
2018-11-16,Colorado College
2018-11-17,Miami
2018-11-24,New Hampshire
2018-12-01,Providence
2019-01-11,Boston College
2019-01-12,New Hampshire
2019-02-02,Maine
2019-02-08,Providence
2019-02-09,Maine
2019-03-02,Massachusetts
2019-03-08,Connecticut
2019-10-11,Army
2019-10-20,Robert Morris
2019-10-25,Penn State
2019-11-08,Michigan State
2019-11-09,Penn State
2019-11-23,Ohio State
2020-01-03,Cornell
2020-01-31,Quinnipiac
2020-02-14,Clarkson
2020-02-21,Harvard
2020-02-22,St. Lawrence
2020-02-28,Cornell
2021-11-05,Harvard
2021-11-08,Northeastern
2021-11-12,Mass.-Lowell
2021-11-21,Connecticut
2022-01-02,Harvard
2022-01-14,Quinnipiac
2022-01-22,Cornell
2022-02-01,Brown
2022-02-04,Clarkson
2022-02-19,Cornell
2022-03-12,Colgate
2022-03-18,Quinnipiac
2022-03-19,Harvard
2022-03-24,Minnesota State
2022-04-09,Denver
2022-10-14,Massachusetts
2022-10-29,Merrimack
2022-11-29,Connecticut
2022-12-02,Merrimack
2022-12-31,Providence
2023-01-06,New Hampshire
2023-01-20,Mass.-Lowell
2023-02-04,New Hampshire
2023-02-25,Connecticut
2023-03-03,Boston College
2023-03-04,Connecticut
2023-03-11,Mass.-Lowell
2023-03-17,Merrimack
2023-03-18,Boston University
2023-04-06,Minnesota
2023-04-08,Quinnipiac
2023-10-07,Boston College
2023-10-21,Denver
2023-11-10,Arizona State
2023-11-11,Denver
2023-11-19,Omaha
2023-12-01,Minnesota-Duluth
2023-12-02,Omaha
2023-12-08,St. Cloud State
2024-01-12,Denver
2024-01-26,North Dakota
2024-02-16,Colorado College
2024-02-23,Omaha
2024-03-15,Colorado College
2024-03-16,Omaha
2024-03-23,Denver
2024-11-22,Arizona State
